round,total_events,decisions_made,compliant_decisions,avg_latency,total_cost,compliance_rate
0,31,31,18,16.4091,3165.4810,0.5806
1,31,31,23,15.7016,3397.3981,0.7419
2,32,32,26,16.3824,3219.2297,0.8125
3,35,35,25,16.6800,3776.8334,0.7143
4,28,28,19,16.2169,3195.9525,0.6786
5,27,27,21,14.3750,2633.3353,0.7778
6,27,27,21,16.4980,2908.2773,0.7778
7,34,34,25,15.5068,3570.4568,0.7353
8,22,22,18,16.3389,2015.5870,0.8182
9,26,26,20,15.3363,2813.8379,0.7692
10,28,28,22,16.2377,3173.1594,0.7857
11,24,24,18,15.7162,2494.6396,0.7500
12,29,29,22,15.9420,3306.2558,0.7586
13,32,32,23,15.5232,3670.1319,0.7188
14,30,30,20,16.0796,3074.9537,0.6667
15,30,30,24,14.4878,3305.3722,0.8000
16,22,22,14,16.3415,2215.4059,0.6364
17,38,38,20,16.0429,3817.9975,0.5263
18,32,32,23,15.9258,3149.2033,0.7188
19,30,30,24,16.9859,3020.1842,0.8000
20,29,29,22,15.4416,3266.2724,0.7586
21,35,35,23,16.3055,3521.3699,0.6571
22,28,28,18,15.2457,2604.2438,0.6429
23,21,21,15,16.2217,2217.9867,0.7143
24,26,26,18,16.4496,2968.7978,0.6923
25,26,26,19,16.8759,2955.8766,0.7308
26,35,35,21,16.4383,3714.2621,0.6000
27,26,26,16,16.2515,2563.8064,0.6154
28,37,37,27,16.0349,3824.5635,0.7297
29,25,25,16,15.2104,2514.1505,0.6400
30,30,30,20,15.4014,3094.5151,0.6667
31,35,35,25,15.0736,3628.3877,0.7143
32,27,27,23,14.8829,2751.2236,0.8519
33,28,28,21,14.9826,3123.8039,0.7500
34,22,22,16,16.0483,2496.3173,0.7273
35,28,28,18,15.7006,3112.1179,0.6429
36,22,22,16,14.6119,2263.5833,0.7273
37,26,26,15,16.3878,2714.8313,0.5769
38,38,38,25,16.0051,4064.7183,0.6579
39,32,32,23,16.2521,3267.5102,0.7188
40,28,28,19,16.6156,3229.3670,0.6786
41,25,25,19,15.7500,2525.1245,0.7600
42,20,20,15,15.3134,1936.1688,0.7500
43,25,25,20,16.2364,2725.6562,0.8000
44,37,37,28,15.6113,4155.2440,0.7568
45,24,24,17,16.3059,2602.5493,0.7083
46,30,30,23,15.9429,3106.1866,0.7667
47,26,26,20,16.3545,2770.5985,0.7692
48,28,28,20,15.2002,3152.8459,0.7143
49,22,22,15,15.5070,2455.9203,0.6818
50,18,18,15,15.0352,2115.1795,0.8333
51,25,25,22,15.7967,2558.6804,0.8800
52,32,32,23,15.9031,3510.3754,0.7188
53,29,29,19,15.3111,2982.4865,0.6552
54,31,31,28,14.5197,3261.6561,0.9032
55,25,25,14,15.9430,2611.1863,0.5600
56,37,37,27,15.7565,3540.7931,0.7297
57,33,33,27,15.5499,3449.7695,0.8182
58,37,37,28,16.0981,3899.8585,0.7568
59,41,41,33,16.2663,4541.8375,0.8049
60,22,22,16,16.3130,2417.4342,0.7273
61,30,30,25,15.6674,2841.4712,0.8333
62,19,19,14,14.6697,2018.7794,0.7368
63,32,32,24,16.4040,3362.6270,0.7500
64,30,30,26,16.4207,3217.4885,0.8667
65,28,28,21,15.2832,3218.6082,0.7500
66,30,30,22,16.0862,3310.9563,0.7333
67,31,31,23,16.3617,3399.1371,0.7419
68,20,20,15,14.5244,2098.7533,0.7500
69,27,27,18,15.7693,2782.4657,0.6667
70,28,28,17,16.2891,2827.3117,0.6071
71,35,35,28,15.8654,3871.5117,0.8000
72,29,29,20,15.8875,2948.9028,0.6897
73,25,25,16,15.1388,2650.1739,0.6400
74,25,25,15,16.0579,2481.8794,0.6000
75,26,26,19,15.5137,2795.8782,0.7308
76,29,29,21,16.2377,2873.6865,0.7241
77,32,32,22,15.9514,3268.9487,0.6875
78,32,32,26,15.4256,3610.1465,0.8125
79,32,32,22,15.9725,3323.6983,0.6875
80,15,15,13,15.6029,1647.5015,0.8667
81,32,32,20,16.2478,3704.6505,0.6250
82,26,26,19,15.8678,2551.4899,0.7308
83,26,26,17,16.8171,3064.9441,0.6538
84,31,31,22,16.0244,3193.0432,0.7097
85,32,32,21,15.7935,3443.1375,0.6562
86,35,35,27,15.6377,3838.0850,0.7714
87,32,32,22,16.3028,3426.6941,0.6875
88,28,28,19,15.4787,2671.5450,0.6786
89,27,27,20,15.1141,2623.9687,0.7407
90,28,28,21,14.6095,3145.4498,0.7500
91,29,29,23,15.5334,3030.4354,0.7931
92,36,36,24,15.3430,3719.4295,0.6667
93,29,29,21,16.6917,3067.9778,0.7241
94,36,36,30,16.8196,3972.8330,0.8333
95,33,33,23,16.1134,3375.7164,0.6970
96,31,31,18,16.3923,3252.5040,0.5806
97,28,28,20,15.8807,3083.2064,0.7143
98,22,22,16,16.4192,2176.0051,0.7273
99,33,33,27,16.3426,3570.6447,0.8182
100,39,39,30,15.3408,4124.8068,0.7692
101,24,24,18,14.9041,2527.1176,0.7500
102,26,26,22,15.3235,2871.6076,0.8462
103,25,25,20,15.3577,2837.6777,0.8000
104,35,35,23,17.2116,3770.1899,0.6571
105,25,25,18,15.2163,2664.5566,0.7200
106,34,34,27,15.5859,3755.7389,0.7941
107,24,24,21,14.6904,2528.2007,0.8750
108,22,22,14,17.1508,2344.7495,0.6364
109,35,35,31,15.9434,3951.0353,0.8857
110,28,28,20,15.5523,3175.4515,0.7143
111,31,31,20,16.0200,3420.2961,0.6452
112,32,32,23,16.1983,3247.8104,0.7188
113,29,29,23,16.4988,2935.9399,0.7931
114,30,30,21,16.2954,3253.2745,0.7000
115,23,23,22,14.4917,2173.5359,0.9565
116,29,29,22,15.9999,3123.7538,0.7586
117,33,33,22,15.4153,3615.1737,0.6667
118,29,29,19,16.0004,2961.0447,0.6552
119,35,35,25,16.2002,3705.1306,0.7143
120,34,34,22,15.2556,3660.9434,0.6471
121,32,32,25,14.5622,3436.2929,0.7812
122,30,30,22,15.0301,3237.6169,0.7333
123,35,35,26,16.1366,3240.9003,0.7429
124,24,24,17,16.9159,2607.2601,0.7083
125,34,34,26,16.5020,3553.6829,0.7647
126,29,29,25,16.3001,3203.7589,0.8621
127,27,27,23,16.9370,3076.1966,0.8519
128,25,25,19,16.8619,2566.2610,0.7600
129,35,35,26,15.5993,3459.1768,0.7429
130,32,32,23,16.5088,3324.7430,0.7188
131,24,24,16,15.7768,2559.9349,0.6667
132,27,27,22,15.9169,2704.4201,0.8148
133,28,28,18,15.9044,2908.9133,0.6429
134,33,33,26,15.7442,3525.1242,0.7879
135,27,27,18,16.4792,2873.6417,0.6667
136,37,37,25,16.0185,3740.3998,0.6757
137,31,31,22,15.5891,3438.0967,0.7097
138,31,31,23,15.5326,3235.3248,0.7419
139,24,24,20,15.2150,2407.9949,0.8333
140,27,27,20,15.3123,2505.6793,0.7407
141,33,33,26,15.5743,3623.1239,0.7879
142,28,28,23,16.1453,3067.2101,0.8214
143,34,34,28,15.5941,3766.9743,0.8235
144,30,30,23,15.2985,3177.7037,0.7667
145,33,33,27,15.6606,3341.6587,0.8182
146,22,22,15,16.0887,2382.5996,0.6818
147,32,32,22,15.1672,3422.9003,0.6875
148,28,28,23,15.6398,3032.2608,0.8214
149,21,21,17,16.9971,2321.1762,0.8095
150,30,30,22,15.5697,3174.7979,0.7333
151,44,44,27,15.8759,4583.3648,0.6136
152,32,32,25,16.1884,3499.0374,0.7812
153,28,28,23,15.7646,2947.4469,0.8214
154,18,18,17,14.4632,1981.4459,0.9444
155,29,29,20,14.6770,3194.3429,0.6897
156,29,29,19,15.1179,2993.0253,0.6552
157,28,28,22,14.4841,3093.9405,0.7857
158,27,27,22,15.5568,2798.3307,0.8148
159,32,32,21,16.4757,3322.4485,0.6562
160,27,27,21,15.6420,2773.3553,0.7778
161,41,41,33,16.2486,4550.9429,0.8049
162,27,27,24,16.3989,2711.6065,0.8889
163,17,17,9,15.6610,1941.0368,0.5294
164,28,28,23,16.1041,2924.6206,0.8214
165,34,34,26,15.4214,3691.3211,0.7647
166,27,27,23,16.4053,2797.8153,0.8519
167,32,32,22,16.2048,3513.0996,0.6875
168,27,27,19,15.3846,2879.6446,0.7037
169,19,19,14,16.7747,1957.6951,0.7368
170,37,37,27,16.1590,4160.2662,0.7297
171,30,30,23,15.3094,3501.1070,0.7667
